Title,Date,Publisher,Description,Metadata
"(u'National Land Cover Database 2001 -  Tree Canopy Layer - Pennsylvania and Northeast',)","(u'2003',)","(u'U S Geological Survey',)","(u'The National Land Cover Database 2001 tree canopy layer for mapping zone 47 was produced through a cooperative project conducted by the Multi-Resolution Land Characteristics (MRLC) Consortium.  The MRLC Consortium is a partnership of federal agencies (www.mrlc.gov), consisting of the U.S. Geological Survey (USGS), the National Oceanic and Atmospheric Administration (NOAA), the U.S. Environmental Protection Agency (EPA), the U.S. Department of Agriculture (USDA), the U.S. Forest Service (USFS), the National Park Service (NPS), the U.S. Fish and Wildlife Service (FWS), the Bureau of Land Management (BLM) and the USDA Natural Resources Conservation Service (NRCS).  One of the primary goals of the project is to generate a current, consistent, seamless, and accurate National Land cover Database (NLCD) circa 2001 for the United States at medium spatial resolution.  For a detailed definition and discussion on MRLC and the NLCD 2001 products, refer to Homer et al. (2003) and http://www.mrlc.gov/mrlc2k.asp.\r\n\r\nThe NLCD 2001 was created by partitioning the U.S. into mapping zones.  A total of 66 mapping zones were delineated within the conterminous U.S. based on ecoregion and geographical characteristics, edge matching features and the size requirement of Landsat mosaics.  Mapping zone 47 encompasses whole or portions of several states including the states of Kentucky, Indiana, Ohio, Tennessee, and Missouri. Questions about the NLCD mapping zone 47 can be directed to the NLCD 2001 land cover mapping team at the National Center, EROS, Sioux Falls, SD (605) 594-6151 or mrlc@usgs.gov.',)","(u'FullMetadataDisplay.aspx?file=canopy13_pa_northeast_3k_022007.xml',)"
"(u'TIGER/Line Shapefile, 2009, state, Pennsylvania, Current County Subdivision State-based',)","(u'2009',)","(u'U S Census Bureau',)","(u'The TIGER/Line Shapefiles are an extract of selected geographic and cartographic information from the Census MAF/TIGER database.  The Census MAF/TIGER database represents a seamless national file with no overlaps or gaps between parts.  However, each TIGER/Line Shapefile is designed to stand alone as an independent data set or the shapefiles can be combined to cover the whole nation.',)","(u'FullMetadataDisplay.aspx?file=tl_Pennsylvania3Digit2009.xml',)"
"(u'Pennsylvania Crime 2002',)","(u'2005',)","(u'U S Department of Justice',)","(u'This map layer shows crime statistics for the United States for the\r\nyears 2001-2002, drawn from the Uniform Crime Reporting Program data\r\ncompiled by the Federal Bureau of Investigation and archived at the\r\nInter-university Consortium for Political and Social Research (ICPSR).\r\nCrime data are reported by county and are provided for eight crimes:\r\nmurder, forcible rape, robbery, aggravated assault, burglary, larceny,\r\nmotor vehicle theft, and arson.  Statewide allocation data are not\r\nincluded in this map layer.  Crime data are adjusted to compensate for\r\nincomplete reporting by individual law enforcement agencies.  See the\r\nonline codebook at\r\n\r\nfor more information. This layer is clipped to Pennsylvania',)","(u'FullMetadataDisplay.aspx?file=Crime_PA2002.xml',)"
"(u'Delaware state boundary - line',)","(u'2004',)","(u'Delaware River Basin Commission DRBC',)","(u'Line boundary for the state of Delaware',)","(u'FullMetadataDisplay.aspx?file=de_stateline_arc.xml',)"
"(u'DOH Trauma Hospitals 60Min Drive Time Polygons',)","(u'2012',)","(u'Pennsylvania Department of Health',)","(u""These polygons represent 60-minute drive-time polygons to Pennsylvania's trauma hospitals (accredited by the PA Trauma Systems Foundation)."",)","(u'FullMetadataDisplay.aspx?file=DOH_Trauma_Hospitals_60_Min_Drive_Time_Polygons.xml',)"
"(u'TIGER/Line Shapefile, 2009, 2000 state, Pennsylvania, Census 2000 State Legislative District (SLD) Lower Chamber',)","(u'2009',)","(u'U S Census Bureau',)","(u'The TIGER/Line Shapefiles are an extract of selected geographic and cartographic information from the Census MAF/TIGER database.  The Census MAF/TIGER database represents a seamless national file with no overlaps or gaps between parts.  However, each TIGER/Line Shapefile is designed to stand alone as an independent data set or the shapefiles can be combined to cover the whole nation.',)","(u'FullMetadataDisplay.aspx?file=tl_PennsylvaniaStateLegislativeDistrictLowerChamber2000.xml',)"
"(u'Erie Tributaries',)","(u'2013',)","(u'Pennsylvania Fish and Boat Commission',)","(u'This layer contains flowing waters from the Pennsylvania Fish and Boat Commission Fisheries Resource Database located around the Lake Erie Steehhead fishing area. Mapping of the locations of these public access areas throughout Pennsylvania will help promote fishing and boating opportunities in Pennsylvania.',)","(u'FullMetadataDisplay.aspx?file=Erie_Tributaries201302.xml',)"
"(u'County Seats for the Delaware River Basin Area',)","(u'2004',)","(u'Delaware River Basin Commission DRBC',)","(u'County Seats (county capitals) for the Delaware River Basin Area',)","(u'FullMetadataDisplay.aspx?file=countyseat.xml',)"
"(u'Chester County Wetlands - Line',)","(u'1997',)","(u'U S Fish and Wildlife Service',)","(u""NWI digital data files are records of wetlands location and classification as defined by the U.S. Fish & Wildlife Service.  This dataset is a compilation of the 7.5 minute blocks containing ground planimetric coordinates of wetlands point, line, and area features and wetlands attributes for Chester County. The digital data as well as the hardcopy maps that were used as the source for the digital data are produced and distributed by the U.S. Fish and Wildlife Service's National Wetlands Inventory project."",)","(u'FullMetadataDisplay.aspx?file=chestercountywetandsline.xml',)"
"(u'Air Emission Plants',)","(u'2018',)","(u'Pennsylvania Department of Environmental Protection',)","(u'Represents the Primary Facility type Air Emission Plant (AEP) point features.  Air Emissions Plant is a DEP primary facility type related to the Air Quality Program.                                                                                         The sub-facility types related to the Air Emissions Plant that are included  are: Air Pollution Control Device, Combustion Unit, Fuel Material Location, General Administrative Location, Incinerator, Point of Air Emission, and Process.\r\n\r\nAir Pollution Control Device:\r\n\r\nFacility that removes one or more pollutants from an exhaust stream. Examples include a baghouse or wet scrubber.\r\n\r\nCombustion Unit:\r\n\r\nFacility that burns coal, oil, or natural gas. Combustion units are used to produce either electricity, steam, hot gases, or some combination of these. Examples include a utility boiler or gas turbine.\r\n\r\nFuel Material Location:\r\n\r\nFacility for storage of fuels shared by multiple combustion units, incinerators, or processes. Examples include oil storage tanks and larger natural gas supply lines.\r\n\r\nGeneral Administrative Location:\r\n\r\nAn administrative location is created automatically for every new air emission plant primary facility. It is used for locational data to represent the entire primary facility, instead of assigning lat/longs to each sub-facility. The General Administrative Location sub-facility may be obsolete in the future, once eFACTS allows locations at the primary level.\r\n\r\nIncinerator: \r\n\r\nFacility that destroys solid waste products using a variety of fuels. Examples include municipal waste incinerators and hospital infectious waste incinerators.\r\n\r\nPoint of Air Emission:\r\n\r\nExact location or structure from which all other air emission plant sub-facilities exhaust their emissions. Examples may include a steel or masonry smokestack; however, a point of air emission may also represent fugitive emissions that escaped from other points of a facility.\r\n\r\nProcess:\r\n\r\nFacility that produces or modifies a product, and creates an air emission from either the materials used or a fuel consumed. Examples include coating lines or cement kilns.\r\n\r\nContinuous Emission Monitoring Point:\r\n\r\nDevices attached to smokestacks that monitor specific pollutants, i.e. sulfur dioxide, nitrogen oxides, etc.',)","(u'FullMetadataDisplay.aspx?file=AirEmissionPlants2018_01.xml',)"
"(u'United States Historic Features - Geographic Names Information System (GNIS)',)","(u'2009',)","(u'U S Geological Survey',)","(u""The Geographic Names Information System (GNIS), developed by the U.S. Geological Survey in cooperation with the U.S. Board on Geographic Names (BGN), contains information about physical and cultural geographic features in the United States and associated areas, both current and historical, but not including roads and highways. The database also contains geographic names in Antarctica. The database holds the Federally recognized name of each feature and defines the location of the feature by state, county, USGS topographic map, and geographic coordinates. Other feature attributes include names or spellings other than the official name, feature designations, feature class, historical and descriptive information, and for some categories of features the geometric boundaries. The database assigns a unique feature identifier, a random number, that is a key for accessing, integrating, or reconciling GNIS data with other data sets. The GNIS is our Nation's official repository of domestic geographic feature names information."",)","(u'FullMetadataDisplay.aspx?file=GNIS_HistoricFeatures2009.xml',)"
"(u'Commercial Hazardous Waste Operations',)","(u'2018',)","(u'Pennsylvania Department of Environmental Protection',)","(u'A Commercial Hazardous Waste Operation is a DEP primary facility type related to the Waste Management Hazardous Waste Program. The sub-facility types related to Commercial Hazardous Waste Operations that are included are: Disposal Facility, Hazardous Generator, Recycling Facility, Storage Facility, and Treatment Facility. Disposal Facility:\r\n\r\nFacility permitted by DEP to accept hazardous waste generated off-site, and dispose of the waste by incineration, or by intentionally placing the waste in or on land or water in specially designed and constructed containment units where it will remain after closure of the facility',)","(u'FullMetadataDisplay.aspx?file=CommercialHazardousWasteOperations2018_01.xml',)"
"(u'Ecoregions United States (Omernik)',)","(u'2003',)","(u'U S Environmental Protection Agency',)","(u""This map layer shows Omernik's Level III ecoregions, derived from a\r\n1:7,500,000 map created by J.M. Omernik in 1987 and from refinements of\r\nOmernik's framework that were made for other projects.  Ecoregions\r\ndescribe areas of general similarity in ecosystems and in the type,\r\nquality, and quantity of environmental resources.  Omernik's ecoregions\r\nare based on the premise that a hierarchy of ecological regions can be\r\nidentified through the analysis of the patterns and the composition of\r\nboth living and nonliving phenomena, such as geology, physiography,\r\nvegetation, climate, soils, land use, wildlife, and hydrology, that affect\r\nor reflect differences in ecosystem quality and integrity.  All the\r\ncharacteristics are considered when determining ecoregions, but the\r\nrelative importance of each characteristic may vary from one ecoregion to\r\nanother.  Level III is the most detailed level available nationally for\r\nthis system of ecoregions."",)","(u'FullMetadataDisplay.aspx?file=EcoregionsOmernikUS2004.xml',)"
"(u'Delaware River Basin boundary - polygon',)","(u'2004',)","(u'Delaware River Basin Commission DRBC',)","(u'polygon boundary of the Delaware River Basin',)","(u'FullMetadataDisplay.aspx?file=drb_bnd_polygon.xml',)"
"(u'108th Congressional Districts for the Delaware River Basin Area',)","(u'2004',)","(u'Delaware River Basin Commission DRBC',)","(u'108th Congressional Districts for the Delaware River Basin Area.  These were compiled from the 4 basin states and combined into one layer.',)","(u'FullMetadataDisplay.aspx?file=cd108_polygon.xml',)"
"(u'Watershed boundaries for Pennsylvania clipped to the Delaware River Basin',)","(u'2004',)","(u'Delaware River Basin Commission DRBC',)","(u'Watershed boundaries for Pennsylvania clipped to the Delaware River Basin',)","(u'FullMetadataDisplay.aspx?file=pa_wshed_polygon.xml',)"
"(u'Geology by Rock Type for the Susquehanna River Basin',)","(u'2006',)","(u'Susquehanna River Basin Commission SRBC',)","(u'This geology shapefile covers the entire Susquehanna River Basin (2006 boundary).  It represents the merging of three state (NY, PA, MD) bedrock geology spatial datasets in order to provide basic rock types of the Susquehanna River Basin.  The dominant formation lithology that appears in the attribute table were grouped into 19 general rock types, such as sandstone, shale, schist, limestone, dolomite, etc.  These rock types are also categorized by hydrostratigraphic terrain.  The hydrostratigraphic terrain helps to identify the way in which water flows over or through these rocks.',)","(u'FullMetadataDisplay.aspx?file=bedrock_SRBC.xml',)"
"(u'Watersheds of the Susquehanna River Basin at Aprox. 1:24,000 Scale',)","(u'2006',)","(u'Susquehanna River Basin Commission SRBC',)","(u'Polygon shapefile that includes approximately 1:24,000 scale watersheds in the Susquehanna River Basin (2006 boundary).  This file was created by merging three small watershed datasets; (1) Smallsheds from the Pennsylvania Department of Environmental Protection (PADEP); (2) Maryland Hydrologic Unit Code (HUC) 14 digit watersheds; (3) 1:24,000 scale watersheds from the United States Geologic Survey (USGS).  Pennsylvania watersheds are delineated at 1:24,00 while New York and Maryland watersheds are delineated mostly at 1:24,000 but some were delineated at larger or smaller scale.  Additionally, the boundary between the Upper Susq. and Chemung Subbasins was updated to match the SRBC delineated subbasin line that exists on 1:24,000 scale USGS topographic maps.',)","(u'FullMetadataDisplay.aspx?file=wshed24k_SRBC.xml',)"
"(u'National Land Cover Database 2001 - Land Cover Layer - Southeast',)","(u'2003',)","(u'U S Geological Survey',)","(u'The National Land Cover Database 2001 was produced through a cooperative project conducted by the Multi-Resolution Land Characteristics (MRLC) Consortium.  The MRLC Consortium is a partnership of federal agencies (www.mrlc.gov), consisting of the U.S. Geological Survey (USGS), the National Oceanic and Atmospheric Administration (NOAA), the U.S. Environmental Protection Agency (EPA), the U.S. Department of Agriculture (USDA), the U.S. Forest Service (USFS), the National Park Service (NPS), the U.S. Fish and Wildlife Service (FWS), the Bureau of Land Management (BLM) and the USDA Natural Resources Conservation Service (NRCS).  One of the primary goals of the project is to generate a current, consistent, seamless, and accurate National Land cover Database (NLCD) circa 2001 for the United States at medium spatial resolution.  This landcover map and all documents pertaining to it are considered ""provisional""  until a formal accuracy assessment can be conducted.  For a detailed definition and discussion on MRLC and the NLCD 2001 products, refer to Homer et al. (2004) and http://www.mrlc.gov/mrlc2k.asp.\r\n\r\nThe NLCD 2001 is created by partitioning the U.S. into mapping zones.  A total of 66 mapping zones were delineated within the conterminous U.S. based on ecoregion and geographical characteristics, edge matching features and the size requirement of Landsat mosaics.  Mapping zone 60 encompasses whole or portions of several states, including the states of New Jersey, Delaware, Maryland, Pennsylvania, Virginia, and the District of Columbia.  Questions about the NLCD mapping zone 60 can be directed to the NLCD 2001 land cover mapping team at the National Center, EROS, Sioux Falls, SD (605) 594-6151 or mrlc@usgs.gov.',)","(u'FullMetadataDisplay.aspx?file=landcov14_southeast3k_022007.xml',)"
"(u'Route of the Cape May-Lewis Ferry',)","(u'2004',)","(u'Delaware River Basin Commission DRBC',)","(u'Route of the Cape May-Lewis ferry',)","(u'FullMetadataDisplay.aspx?file=capemay_lewes_ferry.xml',)"
"(u'TIGER/Line Shapefile, 2009, state, Pennsylvania, Current State Legislative District (SLD) Upper Chamber',)","(u'2009',)","(u'U S Census Bureau',)","(u'The TIGER/Line Shapefiles are an extract of selected geographic and cartographic information from the Census MAF/TIGER database.  The Census MAF/TIGER database represents a seamless national file with no overlaps or gaps between parts.  However, each TIGER/Line Shapefile is designed to stand alone as an independent data set or the shapefiles can be combined to cover the whole nation.',)","(u'FullMetadataDisplay.aspx?file=tl_PennsylvaniaStateLegislativeDistrictUpperChamber2009.xml',)"
"(u'Income and Employment, 1982',)","(u'2006',)","(u'U S Department of Commerce',)","(u""This map layer portrays 1982 estimates for total personal income, per\r\ncapita personal income, annual number of full-time and part-time jobs,\r\naverage wage per job in dollars, population, and per capita number of\r\njobs, for counties in the United States.\r\n\r\nTotal personal income is all the income that is received by, or on behalf\r\nof, the residents of a particular area.  It is calculated as the sum of\r\nwage and salary disbursements, other labor income, proprietors' income\r\nwith inventory valuation and capital consumption adjustments, rental\r\nincome of persons with capital consumption adjustment, personal dividend\r\nincome, personal interest income, and transfer payments to persons, minus\r\npersonal contributions for social insurance.\r\n\r\nPer capita personal income is calculated as the total personal income of\r\nthe residents of a county divided by the resident population of the\r\ncounty.  The Census Bureau's annual midyear population estimates were used\r\nin the computation.\r\n\r\nThe average annual number of full-time and part-time jobs includes all\r\njobs for which wages and salaries are paid, except jury and witness\r\nservice and paid employment of prisoners.  The jobs are counted at equal\r\nweight, and employees, sole proprietors, and active partners are all\r\nincluded.  Unpaid family workers and volunteers are not included.\r\n\r\nAverage wage per job is the wage and salary disbursements divided by the\r\nnumber of wage and salary jobs in the county.  Wage and salary\r\ndisbursements consist of the monetary remuneration of employees, including\r\nthe compensation of corporate officers; commissions, tips, and bonuses;\r\nand receipts in kind, or pay-in-kind, such as the meals furnished to the\r\nemployees of restaurants.  It reflects the amount of payments disbursed,\r\nbut not necessarily earned during the year.\r\n\r\nPer capita number of jobs is calculated as the average annual number of\r\nfull-time and part-time jobs in a county divided by the resident\r\npopulation of the county.  The Census Bureau's annual midyear population\r\nestimates were used in the computation.\r\n\r\nAll dollar estimates are in current dollars, not adjusted for inflation.\r\nThe information in this map layer comes from the Regional Economic\r\nInformation System (REIS) that is distributed by the Bureau of Economic\r\nAnalysis, http://www.bea.gov/."",)","(u'FullMetadataDisplay.aspx?file=IncomeEmployment1982.xml',)"
"(u'Ambulatory Surgical Centers',)","(u'2017',)","(u'Pennsylvania Department of Health',)","(u'The PA Ambulatory Surgery Centers layer was develeoped to show the geospatial location of ambulatory surgery centers in Pennsylvania. It can be used in various emergency and health related maps.',)","(u'FullMetadataDisplay.aspx?file=DOH_Ambulatory_Surgery_Centers201709.xml',)"
"(u'Vulnerable Lands in the Chesapeake Bay watershed',)","(u'2000',)","(u'Chesapeake Bay Program',)","(u'Multiple layers make up this complete project, all layers and pertaining documentation is included in this file.\r\nThe vulnerability layer evaluates the relative potential risk of future land conversion to urban uses. Vulnerability is defined as function of suitability for development and proximity to growth ""hot spots."" The vulnerability layers useful as a stand-alone layer to evaluate development trends, but can also be combined with the other RLA layers to prioritize land conservation efforts. MORE INFORMATION -  ftp://www.pasda.psu.edu/pub/pasda/chesbp/Vulnerability_methods3.doc\r\nftp://www.pasda.psu.edu/pub/pasda/chesbp/Vulnerability_poster.pdf',)","(u'FullMetadataDisplay.aspx?file=vulnerability.xml',)"
"(u'Geographic Names Information System (GNIS) for Pennsylvania',)","(u'1981',)","(u'U S Geological Survey',)","(u""The Geographic Names Information System (GNIS), developed by the U.S. Geological Survey in cooperation with the U.S. Board on Geographic Names (BGN), contains information about physical and cultural geographic features in the United States and associated areas, both current and historical, but not including roads and highways. The database also contains geographic names in Antarctica. The database holds the Federally recognized name of each feature and defines the location of the feature by state, county, USGS topographic map, and geographic coordinates. Other feature attributes include names or spellings other than the official name, feature designations, feature class, historical and descriptive information, and for some categories of features the geometric boundaries. The database assigns a unique feature identifier, a random number, that is a key for accessing, integrating, or reconciling GNIS data with other data sets. The GNIS is our Nation's official repository of domestic geographic feature names information."",)","(u'FullMetadataDisplay.aspx?file=geographicnamesinformationsystem1981.xml',)"
"(u'Delaware River islands',)","(u'2004',)","(u'Delaware River Basin Commission DRBC',)","(u'islands located on the Delaware River within the Delaware River Basin',)","(u'FullMetadataDisplay.aspx?file=islands.xml',)"
"(u'Digital Orthophoto (DOQQ - quarter-quadrangle) for Virginia',)","(u'2000',)","(u'U S Geological Survey',)","(u""Orthophotos combine the image characteristics of a\r\nphotograph with the geometric qualities of a map. The\r\nprimary digital orthophotoquad (DOQ) is a 1-meter ground\r\nresolution, quarter-quadrangle (3.75-minutes of latitude\r\nby 3.75-minutes of longitude) image cast on the Universal\r\nTransverse Mercator Projection (UTM) on the North\r\nAmerican Datum of 1983 (NAD83).The geographic extent of\r\nthe DOQ is equivalent to a quarter-quad plus The overedge\r\nranges a minimum of 50 meters to a maximum of 300 meters\r\nbeyond the extremes of the primary and secondary corner\r\npoints. The overedge is included to facilitate tonal\r\nmatching for mosaicking and for the placement of the NAD83\r\nand secondary datum corner ticks. The normal orientation\r\nof data is by lines (rows) and samples (columns). Each\r\nline contains a series of pixels ordered from west to\r\neast with the order of the lines from north to south.\r\nThe standard, archived digital orthophoto is formatted as\r\nfour ASCII header records, followed by a series of 8-bit\r\nbinary image data records. The radiometric image\r\nbrightness values are stored as 256 gray levels ranging\r\nfrom 0 to 255. The metadata embedded in the digital\r\northophoto contain a wide range of descriptive\r\ninformation including format source information,\r\nproduction instrumentation and dates, and data to assist\r\nwith displaying and georeferencing the image. \r\nDOQ images are acquired as a part of the USGS' National Aerial Photography Program (NAPP).\r\nThrough NAPP imagery for each state is produced on a 7 year cycle.\r\n These images are the NAPP III cycle which will run from 1997-2001\r\nThese DOQQ's are distributed through PASDA as GeoTIFF images as received from USGS."",)","(u'FullMetadataDisplay.aspx?file=doqq_VA.xml',)"
"(u'TIGER/Line Shapefile, 2009, 2000 state, Pennsylvania, Census 2000 Census Tract State-based',)","(u'2009',)","(u'U S Census Bureau',)","(u'The TIGER/Line Shapefiles are an extract of selected geographic and cartographic information from the Census MAF/TIGER database.  The Census MAF/TIGER database represents a seamless national file with no overlaps or gaps between parts.  However, each TIGER/Line Shapefile is designed to stand alone as an independent data set or the shapefiles can be combined to cover the whole nation.',)","(u'FullMetadataDisplay.aspx?file=tl_PennsylvaniaCensusTractStatebased2000.xml',)"
"(u""Public Water Supplier's (PWS) Service Areas"",)","(u'2018',)","(u'Pennsylvania Department of Environmental Protection',)","(u""Boundaries of current public water supplier's (PWS) service areas.  This data set contains the present service area boundary of the water system and does not contain locations of surface and groundwater sources, storage facilities, transmission and distribution system lines, and interconnections with other water systems. Revisions, updates and additions are done on an as needed basis.  All boundaries should be considered approximate."",)","(u'FullMetadataDisplay.aspx?file=PublicWaterSupply2018_01.xml',)"
"(u'Abandoned Mine Land Inventory Points',)","(u'2018',)","(u'Pennsylvania Department of Environmental Protection',)","(u'This data set portrays the approximate location of Abandoned Mine Land Problem Areas containing public health, safety, and public welfare problems created by past coal mining. It is a subset of data contained in the Office of Surface Mining (OSM) Abandoned Mine Land Inventory.  This layer identifies AML Points representing specific locations within an AML Inventory Site, examples include AML discharge.',)","(u'FullMetadataDisplay.aspx?file=AMLInventoryPoints2018_01.xml',)"
"(u'Intermediate Care Facilities',)","(u'2016',)","(u'Pennsylvania Department of Health',)","(u""PA Intermediate care facilities from the Department of Health's quality assurance database.  Current as of 11/16/06."",)","(u'FullMetadataDisplay.aspx?file=DOH_IntermediateCareFacilities201609.xml',)"
"(u'Community Mental Health Centers',)","(u'2016',)","(u'Pennsylvania Department of Health',)","(u""PA Community Mental Health Centers from the PA Dept of Health's quality assurance database.  Current as of 12/6/2006."",)","(u'FullMetadataDisplay.aspx?file=DOH_Community_Mental_Health_Centers201609.xml',)"
"(u'Geologic map - Topographic Change in Philadelphia, During the Last Century',)","(u'2000',)","(u'U S Geological Survey',)","(u'A scope of work was developed in response to a request by the U. S. Army Corps\r\nof Engineers, Philadelphia District. The request was to perform a topographic\r\nchange grid analysis for the Frankford 7.5-minute quadrangle, 1:24,000-scale\r\ntopographic map, which includes the Wissinoming neighborhood, and the Germantown 7.5-minute quadrangle, which includes the Logan and Feltonville neighborhoods of the City of Philadelphia. The following tasks were performed under this scope of work: A GPS-corrected GIS grid analysis for each quadrangle was completed and is accompanied by documentation that describes procedures and provides metadata of the informational content of the GIS. A high-resolution global positioning system (GPS) survey was conducted for each topographic quadrangle in order to evaluate and correct systematic discrepancies in elevation between the modern and historic surveys. Prior to release, the fully documented GPS-corrected GIS grid analysis for each quadrangle was reviewed for (1) com-pleteness of documentation and for (2) appropriate analysis and discussion of uncertainties.\r\nThe following report is in fulfillment of the tasks outlined in this scope of work and was performed by the U. S. Geological Survey for the U. S. Army Corps of Engineers, Philadelphia District under MIPR agreement number: W25PHS93358288.',)","(u'FullMetadataDisplay.aspx?file=PHIL_geology.xml',)"
"(u'Integrated List NonAttaining Lakes',)","(u'2018',)","(u'Pennsylvania Department of Environmental Protection',)","(u'This layer shows only non attaining lakes of the Integrated List. The Lakes Integrated List represents lake assessments in an integrated format for the Clean Water Act Section 305(b) reporting and Section 303(d) listing. PA DEP protects 4 lake water uses: aquatic life, fish consumption, potable water supply, and recreation. The 305(b) layers represent lakes that have been evaluated for attainment of those uses. If a lake is not attaining any one of its 4 uses, it is considered impaired. Aquatic Life use attainment - The integrity reflected in any component of the biological community (i.e. fish or fish food organisms). Fish Consumption use attainment - The risk posed to people by the consumption of aquatic organisms (ex. fish, shellfish, frogs, turtles, crayfish, etc.). Recreational use attainment - The risk associated with human recreation activities in or on a water body (i.e. exposure to bacteria and other disease causing organisms through water contact recreation like swimming or water skiing). Potable Water Supply use attainment - The risk posed to people by the ingestion of drinking water. Lakes that have appeared on an approved Category 5 Integrated Listing are the entries labeled as approved. Integrated Lists are submitted for approval every other year. Lakes entered subsequent to the latest approved Category 5 listing are labeled tentative. After appearing on an approved listing, the tentative entries move to approved. The Lake Integrated List is provided as two separate layers determined if the lake is attaining or not attaining its designated uses. DEP Lakes Integrated List layers are maintained by the PADEP Office of Water Management, Bureau of Water Supply & Wastewater Management, Water Quality Assessment and Standards Division. The layer is based on the High Resolution National Hydrography Dataset (NHD). Additional update information is provided by Bureau of Watershed Management, Water Use Planning Division.',)","(u'FullMetadataDisplay.aspx?file=IntegratedListNonAttaining_Lakes2018_01.xml',)"
"(u'Chesapeake Bay Watershed land use/land cover v105',)","(u'2000',)","(u'Chesapeake Bay Program',)","(u'A land cover map of the Chesapeake Bay Watershed plus the non-watershed components of counties that intersect the Watershed. The map has 17 cover classes modified from the Anderson Level II system. Landsat remotely sensed data and additional thematic data bases were used to create the map. A decision-tree classification was used, together with ad hoc algorithms to improve local accuracies. Landsat 7 ETM+ data were acquired for three seasons. The spatial accuracy is nominally 30m, but accuracy increases rapidly at larger minimum mapping units and, as a general rule, the map should not be used below 1ha (100m x 100m) resolution. The map extends beyond the watershed but has not been validated outside the watershed boundary and the intersecting counties.',)","(u'FullMetadataDisplay.aspx?file=chesapeakebaylanduselandcover2000.xml',)"
"(u'TIGER/Line Shapefile, 2009, state, Pennsylvania, Current Place',)","(u'2009',)","(u'U S Census Bureau',)","(u'The TIGER/Line Shapefiles are an extract of selected geographic and cartographic information from the Census MAF/TIGER database.  The Census MAF/TIGER database represents a seamless national file with no overlaps or gaps between parts.  However, each TIGER/Line Shapefile is designed to stand alone as an independent data set or the shapefiles can be combined to cover the whole nation.',)","(u'FullMetadataDisplay.aspx?file=tl_PennsylvaniaCurrentPlace2009.xml',)"
"(u'Preliminary Landform Subdivisions of Pennsylvania',)","(u'1998',)","(u'Pennsylvania Department of Conservation and Natural Resources',)","(u'The land surface of Pennsylvania is anything but flat and horizontal.  The surface comprises complex arrangements of differences in elevation above mean sea level.  The spatial arrangement of these elevation differences comprises topography.  Topography that has describable uniformity throughout some areal dimension is termed a landform.  Landforms can be classified, boundaries can be drawn, and a map can be created.  A preliminary landform map was compiled at approximately 1:605,500 scale.  The map has four levels of landform subdivision: province, section, region, and district.  These units range in size from many hundreds of square miles (province) to less than 200 square miles (district).  The greatest topographic similarity for a given landform unit occurs in the smallest subdivision (district). The greatest topographic dissimilarity for a given landform unit occurs in the largest subdivision (province).\r\nThe landform map was digitized using ARC/INFO software.  Polygon attributes include name of physiographic province, section, district, and area, and the numerical designation of the landform unit.  Arcs were attributed according to whether they form the boundary of one or more of the following: province, section, region, district, or state.\r\nThese data sets are preliminary and will be superseded in 1999 by more detailed data sets prepared from 1:50,000-scale compilation maps having five levels of landform subdivision.',)","(u'FullMetadataDisplay.aspx?file=pags_landform98.xml',)"
"(u'Chester County Railroads',)","(u'2013',)","(u'Chester County',)","(u'One of the planimetric layers developed and owned by Chester County as part of the Chester County Land Records System (ChesCO-LRS) project. The railroads data was photogrammetrically compiled (stereo digitized) from the aerial photography taken April 07, 1993.',)","(u'FullMetadataDisplay.aspx?file=ChesterCounty_Railroads201306.xml',)"
"(u'TIGER/Line Shapefile, 2009, 2000 state, Pennsylvania, Census 2000 Block Group State-based',)","(u'2009',)","(u'U S Census Bureau',)","(u'The TIGER/Line Shapefiles are an extract of selected geographic and cartographic information from the Census MAF/TIGER database.  The Census MAF/TIGER database represents a seamless national file with no overlaps or gaps between parts.  However, each TIGER/Line Shapefile is designed to stand alone as an independent data set or the shapefiles can be combined to cover the whole nation.',)","(u'FullMetadataDisplay.aspx?file=tl_PennsylvaniaBlockGroup2000.xml',)"
"(u'Area Fisheries Managers  Areas',)","(u'2012',)","(u'Pennsylvania Fish and Boat Commission',)","(u'Coverage areas of Pennsylvania Fish and Boat Commission Area Fisheries Managers (AFM).',)","(u'FullMetadataDisplay.aspx?file=AreaFisheriesManagement_Areas201212.xml',)"
